City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1580168236,87,-54.8,-68.3,48.2,24.16
Balassagyarmat,90,HU,1580168505,100,48.07,19.3,32.0,2.24
Fortuna,90,US,1580167912,87,40.6,-124.16,55.99,8.05
Luderitz,0,NA,1580168507,55,-26.65,15.16,64.4,14.99
Khatanga,1,RU,1580168507,92,71.97,102.5,-16.49,5.95
Tuatapere,79,NZ,1580168508,49,-46.13,167.68,66.0,5.01
Cape Town,68,ZA,1580168509,77,-33.93,18.42,62.01,9.17
Ucluelet,90,CA,1580168510,81,48.93,-125.55,46.4,12.75
Kapaa,90,US,1580168426,83,22.08,-159.32,78.8,5.82
Port-Gentil,20,GA,1580168511,88,-0.72,8.78,82.4,4.7
Binzhou,100,CN,1580168512,49,37.37,118.02,37.0,2.44
Kamaishi,75,JP,1580168513,74,39.27,141.88,30.2,8.05
Hilo,40,US,1580168513,54,19.73,-155.09,82.4,11.41
Tuni,68,IN,1580168514,87,17.35,82.55,71.82,0.27
Albany,75,US,1580168515,69,42.6,-73.97,37.4,12.75
Rikitea,79,PF,1580168515,78,-23.12,-134.97,80.01,10.31
Muncar,49,ID,1580168516,76,-8.43,114.33,82.74,1.03
Lata,75,PT,1580168517,93,40.16,-8.33,59.0,8.05
Punta Arenas,75,CL,1580168240,76,-53.15,-70.92,51.8,13.87
Upernavik,100,GL,1580167984,91,72.79,-56.15,-13.27,5.08
Hobart,75,AU,1580168371,42,-42.88,147.33,70.0,19.46
Vaini,75,TO,1580167957,78,-21.2,-175.2,82.4,4.7
East London,98,ZA,1580168521,73,-33.02,27.91,66.9,6.4
Moanda,84,GA,1580168522,75,-1.56,13.22,74.37,2.82
Mar del Plata,0,AR,1580168415,67,-38.0,-57.56,61.0,8.05
Namatanai,56,PG,1580168524,74,-3.67,152.43,83.97,7.09
Tamandare,98,BR,1580168525,81,-8.76,-35.1,81.27,14.76
Doha,0,QA,1580168516,62,25.29,51.53,57.2,4.7
Jamestown,90,US,1580167949,92,42.1,-79.24,33.01,11.41
Longyearbyen,34,SJ,1580167945,77,78.22,15.64,3.2,3.36
Geraldton,0,AU,1580168529,83,-28.77,114.6,71.6,3.36
Lianzhou,0,CN,1580168529,82,24.78,112.38,33.94,5.23
Narsaq,99,GL,1580168082,61,60.92,-46.05,14.0,3.36
Bluff,11,NZ,1580168531,49,-46.6,168.33,66.0,5.01
Mataura,69,NZ,1580168532,49,-46.19,168.86,66.0,5.01
Port Alfred,100,ZA,1580168532,82,-33.59,26.89,60.01,1.99
Clyde River,5,CA,1580168533,67,70.47,-68.59,-23.8,4.7
Sri Aman,80,MY,1580168256,100,1.24,111.46,75.2,1.45
Ankara,75,TR,1580168385,74,39.92,32.85,39.0,4.27
Arraial do Cabo,75,BR,1580168536,83,-22.97,-42.03,78.8,13.87
Dikson,96,RU,1580168537,97,73.51,80.55,-10.57,4.74
Yellowknife,90,CA,1580168538,92,62.46,-114.35,21.2,12.75
Nizhniy Kuranakh,88,RU,1580168538,94,58.84,125.49,0.19,7.18
Atuona,59,PF,1580168539,74,-9.8,-139.03,81.7,10.25
Lagoa,100,PT,1580168250,93,39.05,-27.98,63.91,23.4
Mahebourg,75,MU,1580168017,73,-20.41,57.7,75.2,6.67
Hervey Bay,75,AU,1580168542,88,-25.3,152.85,84.99,11.41
Erzin,75,TR,1580168214,100,36.96,36.2,50.0,2.24
Tanete,68,ID,1580168544,86,-3.94,119.78,81.23,0.87
Souillac,75,MU,1580168544,73,-20.52,57.52,75.2,6.67
Patacamaya,100,BO,1580168545,81,-17.23,-67.92,43.32,6.64
Vuktyl,100,RU,1580168546,97,63.86,57.31,-13.94,5.97
Ponta do Sol,20,PT,1580168547,77,32.67,-17.1,59.0,4.7
Aklavik,90,CA,1580168163,67,68.22,-135.01,-22.0,9.17
Tasiilaq,98,GL,1580168548,58,65.61,-37.64,28.4,1.12
Ontario,1,US,1580168528,22,34.06,-117.65,75.2,11.41
Mehamn,75,NO,1580168550,78,71.04,27.85,12.2,5.82
Cidreira,30,BR,1580167968,84,-30.18,-50.21,75.04,19.51
Gimli,85,CA,1580168551,97,50.63,-96.99,18.0,1.68
Caruray,20,PH,1580168552,88,10.31,119.01,77.0,4.7
Sao Filipe,0,CV,1580168553,56,14.9,-24.5,74.48,15.73
Busselton,0,AU,1580168553,31,-33.65,115.33,82.99,4.38
Aripuana,96,BR,1580168554,92,-9.17,-60.63,76.69,0.85
Puerto Ayora,75,EC,1580168555,62,-0.74,-90.35,84.2,4.7
Uchaly,100,RU,1580168555,85,54.3,59.45,1.8,7.78
Lorengau,87,PG,1580168036,78,-2.02,147.27,84.33,13.53
Sandnessjoen,100,NO,1580168558,64,66.02,12.63,35.6,21.92
San Bartolome de Tirajana,20,ES,1580168558,72,27.92,-15.57,62.6,17.22
Torbay,75,CA,1580167744,88,47.67,-52.73,36.0,16.11
Pindiga,3,NG,1580168560,20,9.98,10.93,67.57,12.48
Thompson,90,CA,1580167739,92,55.74,-97.86,10.4,2.24
Tiksi,100,RU,1580168015,91,71.69,128.87,-21.26,3.67
Husavik,85,IS,1580168562,85,66.04,-17.34,15.8,12.75
Eyl,72,SO,1580168563,74,7.98,49.82,76.32,27.6
Saskylakh,49,RU,1580168563,97,71.92,114.08,-25.01,3.0
Manoel Urbano,99,BR,1580168564,78,-8.84,-69.26,80.55,1.86
Bilibino,100,RU,1580168239,84,68.05,166.44,0.01,2.51
Chapais,1,CA,1580168565,85,49.78,-74.85,17.6,8.05
Salalah,0,OM,1580168566,27,17.02,54.09,64.4,19.46
Poum,93,NC,1580168221,79,-20.23,164.02,79.75,20.33
Qaanaaq,62,GL,1580168568,62,77.48,-69.36,-11.87,3.29
Cabo San Lucas,20,MX,1580168489,60,22.89,-109.91,75.2,13.87
Najran,5,SA,1580168570,48,17.49,44.13,44.6,4.7
Dingle,76,PH,1580167952,86,11.0,122.67,76.57,6.35
Bintulu,75,MY,1580168571,100,3.17,113.03,77.0,1.68
Calbuco,75,CL,1580168572,93,-41.77,-73.13,62.6,2.24
Kargil,100,IN,1580168572,99,34.57,76.1,-4.49,1.36
Iquitos,41,PE,1580168573,70,-3.75,-73.25,87.8,4.7
Port Elizabeth,100,ZA,1580168574,82,-33.92,25.57,59.0,5.82
Lompoc,1,US,1580168575,72,34.64,-120.46,72.0,20.8
Ciudad Bolivar,29,VE,1580168575,52,8.12,-63.55,84.87,10.71
Port Hardy,75,CA,1580168576,75,50.7,-127.42,46.4,23.04
Henties Bay,0,NA,1580168577,91,-22.12,14.28,63.0,6.24
Grindavik,90,IS,1580168578,73,63.84,-22.43,33.8,5.82
Richards Bay,98,ZA,1580168579,67,-28.78,32.04,72.03,6.46
Santiago del Estero,19,AR,1580168580,56,-27.8,-64.26,77.5,4.79
Kayerkan,40,RU,1580168580,77,69.35,87.76,5.0,22.37
Kisangani,78,CD,1580168581,55,0.52,25.2,71.64,1.95
Zharkent,100,KZ,1580168582,95,44.16,80.0,22.32,5.41
Hermanus,58,ZA,1580168583,95,-34.42,19.23,59.0,3.58
Lixouri,2,GR,1580168583,70,38.2,20.43,57.69,20.0
Navirai,45,BR,1580168584,67,-23.07,-54.19,76.8,1.45
Provideniya,90,RU,1580168585,84,64.38,-173.3,-0.4,6.71
Ilulissat,90,GL,1580168586,65,69.22,-51.1,6.8,4.7
Pacific Grove,40,US,1580168373,87,36.62,-121.92,62.6,6.93
Ixtapa,40,MX,1580168409,57,20.7,-105.2,80.6,9.17
Morehead,90,US,1580168596,80,37.27,-87.18,41.0,6.93
Ancud,75,CL,1580168260,87,-41.87,-73.82,60.8,16.11
Millinocket,90,US,1580168321,74,45.66,-68.71,37.0,8.05
Hithadhoo,100,MV,1580168599,80,-0.6,73.08,81.37,15.57
Nabire,93,ID,1580168413,77,-3.37,135.48,81.66,1.03
Vestmannaeyjar,96,IS,1580168600,67,63.44,-20.27,40.06,22.32
Tuktoyaktuk,20,CA,1580168032,68,69.45,-133.04,-20.2,16.11
Ribeira Grande,75,PT,1580168601,93,38.52,-28.7,64.4,17.22
Itoman,75,JP,1580168602,68,26.12,127.67,64.4,12.75
San Andres,20,CO,1580168603,61,12.58,-81.7,82.4,4.7
Maceio,100,BR,1580168418,83,-9.67,-35.74,80.6,8.05
Nuuk,75,GL,1580168481,78,64.18,-51.72,12.2,6.93
Codrington,98,AU,1580168605,85,-38.27,141.97,60.26,10.71
Grand Gaube,75,MU,1580168606,73,-20.01,57.66,75.2,9.64
Hede,98,CN,1580168607,87,33.77,120.25,39.42,13.11
Antalaha,80,MG,1580168516,77,-14.9,50.28,79.63,15.77
Imbituba,75,BR,1580168608,83,-28.24,-48.67,77.0,3.36
Vostok,0,RU,1580168014,74,46.49,135.88,16.07,2.39
Praia da Vitoria,75,PT,1580168609,93,38.73,-27.07,64.4,33.62
Cockburn Town,0,TC,1580168610,72,21.46,-71.14,76.46,5.37
San Cristobal,40,VE,1580168423,65,7.77,-72.22,82.4,9.17
Inuvik,90,CA,1580168428,67,68.35,-133.72,-22.0,9.17
Shenzhen,20,CN,1580168172,61,22.55,114.07,52.0,15.66
Moose Factory,90,CA,1580168614,85,51.26,-80.61,12.2,9.17
Saldanha,90,ZA,1580168101,72,-33.01,17.94,59.0,5.82
Faanui,77,PF,1580168036,73,-16.48,-151.75,83.26,10.76
Maningrida,93,AU,1580168617,81,-12.07,134.27,84.96,17.47
Talnakh,40,RU,1580168617,77,69.49,88.4,5.0,22.37
Akdepe,0,TM,1580168618,74,42.06,59.38,28.4,11.41
Belyy Yar,40,RU,1580168619,84,53.6,91.39,5.0,2.24
Tokonou,92,GN,1580168619,14,9.65,-9.78,69.53,2.46
Kodiak,20,US,1580168620,61,57.79,-152.41,17.6,9.17
Kumul,68,CN,1580168621,65,42.8,93.45,10.44,0.38
Anloga,25,GH,1580168622,78,5.79,0.9,77.0,6.22
Macusani,100,PE,1580168622,93,-14.08,-70.43,37.0,3.31
Constitucion,0,CL,1580168623,76,-35.33,-72.42,61.47,12.71
Nefteyugansk,40,RU,1580168624,84,61.1,72.6,-0.4,11.18
Lewisporte,90,CA,1580168625,92,49.25,-55.05,30.2,17.22
Humaita,43,BR,1580168626,84,-7.51,-63.02,79.92,3.36
Charagua,75,BO,1580168627,61,-19.8,-63.22,77.0,5.82
Vila Franca do Campo,40,PT,1580168627,93,37.72,-25.43,62.6,19.46
Pevek,67,RU,1580168053,90,69.7,170.31,-4.16,2.57
Agadez,53,NE,1580168629,11,19.75,10.25,63.09,4.61
Saint-Philippe,75,RE,1580168629,64,-21.36,55.77,73.4,9.17
Nikolskoye,90,RU,1580168630,85,59.7,30.79,24.8,6.71
Saint-Donat-de-Montcalm,98,CA,1580168631,8,46.32,-74.22,30.0,1.01
Bambous Virieux,75,MU,1580168632,73,-20.34,57.76,75.2,10.83
Ikalamavony,1,MG,1580168632,89,-21.15,46.58,66.87,3.85
Hokitika,99,NZ,1580168524,89,-42.72,170.97,64.38,6.13
Castro,90,BR,1580168634,81,-24.79,-50.01,68.2,2.1
Amazar,37,RU,1580168634,94,53.86,120.88,-6.61,3.06
Atar,27,MR,1580168635,24,20.52,-13.05,69.8,11.88
Avarua,100,CK,1580168631,100,-21.21,-159.78,75.2,2.24
Saint George,1,US,1580168407,25,37.1,-113.58,62.01,9.17
Turaif,98,SA,1580168638,93,31.67,38.66,37.4,6.93
Laas,90,IT,1580168079,100,46.62,10.7,36.0,27.51
Ahipara,0,NZ,1580168070,62,-35.17,173.17,91.0,1.01
Vicuna,75,CL,1580168640,82,-30.03,-70.71,66.2,8.05
Santa Cruz de la Sierra,75,BO,1580168343,94,-17.8,-63.17,75.2,19.46
Miraflores,20,MX,1580168641,28,19.22,-98.81,84.2,18.34
Bengkulu,95,ID,1580168556,83,-3.8,102.27,74.97,3.04
Arrondissement de Bernay,20,FR,1580168643,87,49.17,0.67,46.0,17.22
Santa Ines,100,BR,1580168644,96,-3.67,-45.38,74.98,3.04
Verkhnevilyuysk,75,RU,1580168644,98,63.45,120.32,-29.51,1.39
Vardo,75,NO,1580168645,92,70.37,31.11,10.4,13.87
New Norfolk,75,AU,1580168646,42,-42.78,147.06,70.0,19.46
Bandarbeyla,66,SO,1580168647,68,9.49,50.81,76.33,25.52
Severo-Kuril'sk,97,RU,1580168643,90,50.68,156.12,27.14,8.77
Chui,0,UY,1580168648,77,-33.7,-53.46,62.56,7.81
Bredasdorp,80,ZA,1580168649,82,-34.53,20.04,57.2,2.24
San Angelo,20,US,1580168649,25,31.46,-100.44,75.2,12.75
Nouadhibou,61,MR,1580168650,59,20.93,-17.03,66.2,17.22
Lajedo,97,BR,1580168492,85,-8.66,-36.32,72.91,12.33
Benghazi,11,LY,1580168652,77,32.12,20.07,59.76,11.43
Inirida,50,CO,1580168652,79,3.87,-67.92,80.13,1.39
Shingu,75,JP,1580168653,63,33.73,135.98,60.8,5.82
Kuldur,0,RU,1580168654,93,49.22,131.63,4.24,3.4
Tura,0,IN,1580168654,73,25.52,90.22,54.75,3.83
Esperance,0,AU,1580168655,77,-33.87,121.9,69.8,10.29
Evensk,100,RU,1580168656,94,61.95,159.23,18.34,5.64
Kiryat Gat,97,IL,1580168657,93,31.61,34.76,50.0,3.36
Batemans Bay,100,AU,1580168657,83,-35.72,150.18,73.0,3.0
Aguimes,20,ES,1580168658,72,27.91,-15.45,62.6,16.11
Planeta Rica,20,CO,1580168579,66,8.41,-75.59,84.2,12.75
Idrinskoye,82,RU,1580168660,93,54.37,92.14,10.27,3.38
Keffi,0,NG,1580168660,18,8.85,7.87,70.39,5.1
Guerrero Negro,10,MX,1580168662,65,27.98,-114.06,64.09,12.48
Paamiut,11,GL,1580168663,65,61.99,-49.67,12.63,16.26
Gamba,69,GA,1580168664,86,-2.65,10.0,77.94,2.06
Berbera,52,SO,1580168665,68,10.44,45.01,77.05,8.63
Nara,40,JP,1580168408,62,34.69,135.8,57.0,21.92
Brebes,64,ID,1580168666,82,-6.87,109.04,79.97,2.57
Fomboni,37,KM,1580168667,74,-12.28,43.74,82.74,12.41
Hong Kong,40,HK,1580168385,61,22.29,114.16,52.0,11.41
Lebu,26,CL,1580168129,79,-37.62,-73.65,61.11,11.01
Airai,84,TL,1580168670,74,-8.93,125.41,76.75,2.06
Conde,20,BR,1580168671,78,-7.26,-34.91,82.4,9.17
Sangueya,100,GN,1580168672,88,10.7,-14.37,74.03,6.04
Kunming,20,CN,1580168673,100,25.04,102.72,35.6,2.24
George Town,20,MY,1580168673,94,5.41,100.34,80.6,3.36
Bafia,0,CM,1580168667,71,4.75,11.23,67.55,3.33
Sayat,90,TM,1580168676,100,38.78,63.88,23.0,2.24
Teguise,20,ES,1580168676,77,29.06,-13.56,62.6,10.29
Cayenne,75,GF,1580168665,83,4.93,-52.33,80.6,3.36
Tres Arroyos,0,AR,1580168678,35,-38.37,-60.28,65.03,15.21
Boa Vista,62,BR,1580168659,46,2.82,-60.67,89.6,10.29
Xining,78,CN,1580168679,70,36.62,101.77,12.78,3.78
Perene,100,PE,1580168680,95,-10.95,-75.23,67.68,2.1
Faya,20,SA,1580168682,39,18.39,42.45,50.0,3.74
Berlevag,75,NO,1580168683,78,70.86,29.09,12.2,5.82
Fayetteville,90,US,1580168684,100,35.05,-78.88,51.8,8.05
Sabang,100,ID,1580168684,77,5.89,95.32,81.0,15.23
Leh,95,IN,1580168685,66,34.17,77.58,-10.03,4.59
Pisco,39,PE,1580168686,30,-13.7,-76.22,71.6,19.46
Notse,32,TG,1580168686,56,6.95,1.17,76.64,4.45
Grafton,90,US,1580168557,69,42.21,-71.69,42.8,8.05
Seredka,100,RU,1580168689,93,58.16,28.19,35.6,2.24
Mersa Matruh,8,EG,1580168689,81,31.35,27.25,50.0,7.78
Linqiong,40,CN,1580168419,100,30.42,103.46,42.8,2.13
Mossamedes,99,AO,1580168691,78,-15.2,12.15,75.63,2.59
Pangody,99,RU,1580168692,96,65.85,74.49,-4.76,13.91
Brae,77,GB,1580168693,73,60.4,-1.35,41.0,11.41
Isangel,34,VU,1580168694,66,-19.55,169.27,86.0,8.05
Byumba,97,RW,1580168694,82,-1.58,30.07,68.0,1.54
Sonari,61,IN,1580168695,90,27.07,95.03,54.37,1.34
Leningradskiy,94,RU,1580168696,96,69.38,178.42,-9.2,9.17
Olafsvik,88,IS,1580168698,86,64.89,-23.71,32.41,11.52
Ostrovnoy,60,RU,1580168699,98,68.05,39.51,6.31,6.04
Broken Hill,0,AU,1580168700,26,-31.95,141.43,78.8,12.75
Norman Wells,75,CA,1580168701,68,65.28,-126.83,-16.6,12.75
Palmas,90,BR,1580168701,100,-10.21,-48.36,75.2,1.7
Sitka,90,US,1580168702,76,57.05,-135.33,37.4,10.29
Polonnaruwa,77,LK,1580168705,93,7.93,81.0,66.42,2.28
Hammerfest,44,NO,1580168706,71,70.66,23.68,8.6,23.04
Chunoyar,100,RU,1580168706,95,57.45,97.32,9.93,5.41
Srednekolymsk,98,RU,1580168707,97,67.45,153.68,-23.49,4.85
Hasaki,75,JP,1580168708,93,35.73,140.83,44.6,11.41
Bystryy Istok,100,RU,1580168708,88,52.37,84.39,24.6,5.79
Hamilton,90,US,1580168709,80,39.18,-84.53,35.01,3.36
Grajau,100,BR,1580168711,98,-5.82,-46.14,73.11,2.21
Kahului,20,US,1580168556,48,20.89,-156.47,84.2,16.11
Tiznit,95,MA,1580168712,41,29.58,-9.5,55.33,3.74
Barrow,40,US,1580168713,74,71.29,-156.79,-23.8,6.93
Labuhan,72,ID,1580168713,85,-6.88,112.21,78.87,2.48
Marystown,66,CA,1580168714,92,47.17,-55.15,32.38,14.03
Kincardine,51,GB,1580168715,93,56.07,-3.72,36.0,6.93
Esmeraldas,75,BR,1580168716,83,-19.76,-44.31,73.4,5.82
Susehri,100,TR,1580168716,71,40.16,38.09,23.58,3.44
Korla,0,CN,1580168265,57,41.76,86.15,13.93,4.74
Parrita,75,CR,1580168718,88,9.52,-84.32,73.4,5.82
Mananara,85,MG,1580168719,66,-16.17,49.77,79.83,6.96
Nador,0,MA,1580168231,50,35.17,-2.93,57.2,4.7
Kavieng,31,PG,1580168720,75,-2.57,150.8,84.72,7.58
Kinablangan,51,PH,1580168721,81,7.69,126.55,78.35,1.39
Isfana,90,KG,1580168722,86,39.84,69.53,37.4,4.47
Berezniki,100,RU,1580168722,98,59.42,56.81,-7.73,6.08
Kununurra,93,AU,1580168723,74,-15.77,128.73,86.0,2.24
Antsohihy,71,MG,1580168724,96,-14.88,47.99,73.69,1.63
Togur,100,RU,1580168724,90,58.36,82.83,19.2,10.94
Hambantota,80,LK,1580168184,75,6.12,81.12,75.87,17.52
Buchmany,52,UA,1580168726,89,51.07,28.04,29.86,5.12
Tonekabon,0,IR,1580168727,80,36.82,50.87,41.0,10.54
Zhangjiakou,100,CN,1580168728,88,40.81,114.88,16.11,5.7
Lakeway,1,US,1580168618,67,30.36,-97.98,69.01,6.93
Olinda,40,BR,1580168729,74,-8.01,-34.86,84.2,9.17
Lichinga,100,MZ,1580168730,92,-13.31,35.24,69.66,3.13
Simplicio Mendes,65,BR,1580168731,94,-7.85,-41.91,73.18,2.75
Sao Joao dos Patos,82,BR,1580168732,95,-6.5,-43.7,74.1,3.04
Monrovia,20,LR,1580168694,94,6.3,-10.8,77.0,8.19
Vallentuna,90,SE,1580168734,100,59.53,18.08,42.01,8.05
Chokurdakh,100,RU,1580168735,97,70.63,147.92,-21.53,7.34
Butaritari,54,KI,1580168736,77,3.07,172.79,84.58,21.39
Trofors,100,NO,1580168736,64,65.53,13.41,35.6,21.92
